x	y
-1	91.5669
-0.979798	99.3927
-0.959596	90.0891
-0.939394	75.9826
-0.919192	79.5808
-0.89899	73.5355
-0.878788	60.8434
-0.858586	57.3188
-0.838384	61.9363
-0.818182	57.3719
-0.79798	55.2331
-0.777778	49.9951
-0.757576	42.6495
-0.737374	40.9489
-0.717172	40.8515
-0.69697	36.4448
-0.676768	35.3597
-0.656566	35.6122
-0.636364	32.843
-0.616162	29.2565
-0.59596	27.6005
-0.575758	27.2017
-0.555556	21.8772
-0.535354	22.2118
-0.515152	21.4141
-0.494949	20.7033
-0.474747	18.9766
-0.454545	18.4578
-0.434343	14.901
-0.414141	15.7404
-0.393939	13.9154
-0.373737	12.6869
-0.353535	12.9193
-0.333333	12.5022
-0.313131	11.5586
-0.292929	11.1413
-0.272727	10.8502
-0.252525	9.67338
-0.232323	8.36284
-0.212121	7.90781
-0.191919	7.91285
-0.171717	7.1398
-0.151515	6.70506
-0.131313	6.42403
-0.111111	5.59175
-0.0909091	5.57189
-0.0707071	5.79449
-0.0505051	4.46669
-0.030303	4.259
-0.010101	4.29775
0.010101	4.14751
0.030303	3.53962
0.0505051	3.67534
0.0707071	3.69804
0.0909091	3.1524
0.111111	2.86863
0.131313	2.57075
0.151515	2.72008
0.171717	2.61866
0.191919	2.52681
0.212121	2.17504
0.232323	2.04618
0.252525	2.00692
0.272727	1.65787
0.292929	1.56626
0.313131	1.53586
0.333333	1.40404
0.353535	1.44543
0.373737	1.367
0.393939	1.17935
0.414141	1.23169
0.434343	1.136
0.454545	0.989923
0.474747	0.882375
0.494949	0.973985
0.515152	0.759459
0.535354	0.740329
0.555556	0.673971
0.575758	0.723014
0.59596	0.695027
0.616162	0.642582
0.636364	0.563097
0.656566	0.496077
0.676768	0.550741
0.69697	0.49207
0.717172	0.406724
0.737374	0.408879
0.757576	0.399391
0.777778	0.332953
0.79798	0.333137
0.818182	0.300249
0.838384	0.325392
0.858586	0.271083
0.878788	0.287639
0.89899	0.229672
0.919192	0.232144
0.939394	0.215432
0.959596	0.200078
0.979798	0.191409
1	0.192498
